             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
      10178734_113   regular smina_do  p275927  R    9:51:07      1 pg-node032
       10178734_87   regular smina_do  p275927  R    9:53:00      1 pg-node039
       10178734_88   regular smina_do  p275927  R    9:53:00      1 pg-node039
       10178734_85   regular smina_do  p275927  R    9:53:17      1 pg-node119
       10178734_84   regular smina_do  p275927  R    9:53:18      1 pg-node086
       10178734_81   regular smina_do  p275927  R    9:53:21      1 pg-node020
       10178734_76   regular smina_do  p275927  R    9:53:33      1 pg-node191
       10178734_73   regular smina_do  p275927  R    9:53:37      1 pg-node144
       10178734_72   regular smina_do  p275927  R    9:53:38      1 pg-node144
       10178734_41   regular smina_do  p275927  R    9:54:37      1 pg-node055
       10178734_33   regular smina_do  p275927  R    9:54:39      1 pg-node115
       10178734_35   regular smina_do  p275927  R    9:54:39      1 pg-node061
       10178734_36   regular smina_do  p275927  R    9:54:39      1 pg-node076
      10178734_158   regular smina_do  p275927  R    9:45:55      1 pg-node191
      10178734_159   regular smina_do  p275927  R    9:45:55      1 pg-node191
      10178734_138   regular smina_do  p275927  R    9:47:48      1 pg-node099
      10178734_133   regular smina_do  p275927  R    9:48:47      1 pg-node191
      10178734_132   regular smina_do  p275927  R    9:49:02      1 pg-node076
      10178734_130   regular smina_do  p275927  R    9:49:08      1 pg-node046
      10178734_129   regular smina_do  p275927  R    9:49:21      1 pg-node016
      10178734_128   regular smina_do  p275927  R    9:49:22      1 pg-node181
      10178734_127   regular smina_do  p275927  R    9:49:28      1 pg-node062
      10178734_126   regular smina_do  p275927  R    9:49:29      1 pg-node057
      10178734_125   regular smina_do  p275927  R    9:49:31      1 pg-node203
      10178734_123   regular smina_do  p275927  R    9:49:50      1 pg-node141
      10178734_124   regular smina_do  p275927  R    9:49:50      1 pg-node141
      10178734_122   regular smina_do  p275927  R    9:50:07      1 pg-node086
      10178734_186   regular smina_do  p275927  R    9:41:36      1 pg-node187
      10178734_181   regular smina_do  p275927  R    9:42:38      1 pg-node045
      10178734_180   regular smina_do  p275927  R    9:42:42      1 pg-node155
      10178734_178   regular smina_do  p275927  R    9:43:01      1 pg-node078
      10178734_177   regular smina_do  p275927  R    9:43:09      1 pg-node191
      10178734_175   regular smina_do  p275927  R    9:43:42      1 pg-node071
      10178734_174   regular smina_do  p275927  R    9:43:46      1 pg-node124
      10178734_172   regular smina_do  p275927  R    9:43:47      1 pg-node086
      10178734_173   regular smina_do  p275927  R    9:43:47      1 pg-node086
      10178734_171   regular smina_do  p275927  R    9:44:25      1 pg-node073
      10178734_170   regular smina_do  p275927  R    9:44:58      1 pg-node119
      10178734_167   regular smina_do  p275927  R    9:45:21      1 pg-node048
      10178734_162   regular smina_do  p275927  R    9:45:28      1 pg-node126
      10178734_161   regular smina_do  p275927  R    9:45:29      1 pg-node056
      10178734_217   regular smina_do  p275927  R    9:35:50      1 pg-node191
      10178734_218   regular smina_do  p275927  R    9:35:50      1 pg-node193
      10178734_219   regular smina_do  p275927  R    9:35:50      1 pg-node206
      10178734_214   regular smina_do  p275927  R    9:37:21      1 pg-node100
      10178734_209   regular smina_do  p275927  R    9:37:46      1 pg-node077
      10178734_208   regular smina_do  p275927  R    9:38:08      1 pg-node104
      10178734_206   regular smina_do  p275927  R    9:38:17      1 pg-node185
      10178734_240   regular smina_do  p275927  R    9:30:45      1 pg-node193
      10178734_234   regular smina_do  p275927  R    9:31:46      1 pg-node008
      10178734_235   regular smina_do  p275927  R    9:31:46      1 pg-node102
      10178734_237   regular smina_do  p275927  R    9:31:46      1 pg-node151
      10178734_238   regular smina_do  p275927  R    9:31:46      1 pg-node100
      10178734_232   regular smina_do  p275927  R    9:32:47      1 pg-node121
      10178734_233   regular smina_do  p275927  R    9:32:47      1 pg-node121
      10178734_227   regular smina_do  p275927  R    9:33:48      1 pg-node034
      10178734_228   regular smina_do  p275927  R    9:33:48      1 pg-node037
      10178734_229   regular smina_do  p275927  R    9:33:48      1 pg-node047
      10178734_230   regular smina_do  p275927  R    9:33:48      1 pg-node061
      10178734_231   regular smina_do  p275927  R    9:33:48      1 pg-node150
      10178734_220   regular smina_do  p275927  R    9:34:49      1 pg-node056
