pi_stack,salt_bridge_A,salt_bridge_B,h_bond_A,h_bond_B,ZINC_ID,pose
1,1,1,0,0,64571146,319
0,0,0,0,0,07420602,172
0,1,1,0,0,73660050,102
1,0,0,1,1,68060701,361
1,0,0,1,0,67478969,128
0,0,0,1,0,72897232,384
1,0,0,0,0,62264378,141
1,0,0,0,0,05910066,273
1,0,0,0,0,92424903,202
1,1,1,0,0,73883349,220
1,0,0,0,0,74085559,7
1,0,0,0,0,65361471,40
0,0,0,0,0,71884813,116
1,0,0,0,0,09385348,53
1,0,0,0,0,74410063,211
1,0,0,0,0,67513161,132
0,0,0,0,0,65666071,182
0,0,0,1,0,01205672,225
1,0,0,0,1,93324563,138
1,0,0,1,0,57952158,294
1,0,0,0,0,45510969,254
0,0,0,0,0,68060701,359
1,1,1,0,0,74574902,83
1,0,0,1,0,10324975,374
0,0,0,0,0,16651196,153
1,0,0,0,0,67513853,197
0,0,0,0,0,74410063,213
0,0,0,1,0,67197628,398
0,0,0,1,0,68041466,264
0,0,0,1,0,66059721,237
1,0,0,0,0,55644739,183
1,0,0,0,0,31811525,379
1,0,0,0,0,19131878,70
1,0,0,0,0,26221786,388
1,0,0,1,0,68412102,13
1,0,0,0,0,93250295,393
0,0,0,0,0,72056290,350
1,0,0,1,0,67197628,399
0,0,0,0,0,67939312,261
1,0,0,0,0,74085559,9
0,0,0,0,1,69540964,96
1,0,0,0,0,36161037,187
1,0,0,0,0,68771030,58
1,0,0,0,0,78153998,29
1,0,0,0,0,92574638,301
1,0,0,0,0,12121666,382
1,0,0,0,0,71831325,104
1,0,1,0,0,93250295,394
1,0,0,0,0,12695391,353
1,0,0,0,0,20995798,246
1,0,0,0,0,71884813,114
1,0,0,0,0,73009154,310
0,0,1,0,0,94081766,288
1,0,0,1,0,65666071,180
0,0,0,1,0,01205672,227
1,0,0,0,0,65666071,179
1,0,0,1,0,68412102,14
1,0,0,0,0,69870245,244
0,0,0,0,0,92424903,201
1,0,0,0,0,59746667,280
1,0,0,0,0,56332954,80
1,1,1,0,0,19131878,69
1,0,0,0,0,67478969,127
0,0,0,0,0,91192008,143
0,0,0,0,0,74488443,17
0,0,0,1,0,32903688,364
0,0,0,0,0,73660050,98
1,0,0,0,0,67939312,260
1,0,0,1,0,63405390,308
1,0,0,0,0,12121666,381
1,0,0,1,0,41563063,90
0,0,0,0,0,84219765,236
1,0,0,0,0,92574638,300
1,0,0,0,0,74745932,231
0,0,0,1,0,68041466,267
0,0,0,0,0,03428204,368
1,0,1,0,0,64571146,318
0,0,0,0,0,74488443,18
1,0,1,0,0,46280038,49
1,0,0,0,0,70953630,322
1,0,0,0,0,12695391,354
1,0,0,1,0,73009154,332
1,0,0,1,0,68060701,358
1,0,0,1,0,91587221,35
1,0,0,1,0,79809855,108
0,0,0,0,0,64831847,222
0,0,0,1,0,22550957,55
0,0,0,0,0,64831847,111
1,0,0,1,0,56332954,79
1,0,0,0,0,92261619,285
1,0,0,0,0,67513853,198
0,0,0,0,0,31665880,194
1,0,0,0,0,91702149,64
1,0,0,1,0,67332079,164
0,0,0,0,0,72897232,386
0,0,0,1,0,05910066,272
1,0,0,1,0,70971758,121
1,0,0,0,0,91087894,334
0,0,1,0,0,80569226,327
0,0,0,0,0,78529165,306
0,0,0,1,0,66271941,291
1,0,0,1,0,64406539,149
1,0,0,0,0,74574902,81
1,0,0,0,0,59746667,278
1,0,0,0,1,78153998,28
1,0,0,0,0,79809855,109
0,0,0,0,0,91192008,146
1,0,0,0,0,36711820,59
0,0,0,0,1,05910066,275
1,0,0,0,0,68041466,263
0,0,0,0,0,66271941,293
0,0,0,1,0,67478969,126
1,0,0,0,0,78153998,31
1,0,0,0,0,65361471,38
1,0,0,1,1,64406539,150
0,0,1,0,0,90006344,27
1,0,0,0,0,74745932,230
1,0,0,0,0,84219765,234
0,0,0,1,0,06797245,43
1,0,0,0,0,32903688,363
1,0,0,0,0,67939312,259
1,0,0,0,0,92193065,158
1,0,0,1,0,56332954,76
1,0,0,0,0,45966203,117
1,0,0,1,0,67561565,341
1,0,0,0,0,69631972,313
0,0,0,0,0,93563659,88
1,0,0,0,1,68412102,10
0,0,0,0,0,01205672,224
0,0,0,1,0,64406539,151
1,0,0,0,0,45510969,256
0,0,0,0,0,36161037,190
0,0,0,0,0,06797245,45
1,0,0,0,0,94081766,277
1,0,0,0,0,72897232,385
1,0,0,0,0,66390362,242
1,0,0,1,0,07420602,171
1,0,0,0,1,67561565,340
1,0,0,0,0,75036519,169
1,0,0,0,0,67513161,134
1,0,0,1,0,72283873,87
1,0,0,0,0,12121666,380
1,0,1,0,0,78529165,305
0,0,0,0,0,71831325,106
1,0,0,1,1,67513853,200
1,0,0,0,0,32903688,365
1,0,0,0,0,16651196,152
0,0,0,0,0,31811525,376
0,0,0,0,0,80569226,326
